epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,121.193,0.61542,0.89625,0.4898,1.07402,0.99125,0.99099,0.995,0.8843,0.98475,0.98198,0.99417,0.88615,0.56762,0.70934,0.47247,1.0172,0.00167132,0.00167132,0.00167132
85,122.609,0.65204,1.12814,0.48272,1.06502,0.92045,0.98198,0.98317,0.86591,0.92045,0.98198,0.97931,0.86917,0.58204,0.74033,0.59864,1.05561,0.00166736,0.00166736,0.00166736
86,124.022,0.54472,0.93879,0.45928,1.00118,0.94698,0.98198,0.98816,0.88262,0.94698,0.98198,0.98816,0.87373,0.50566,0.76997,0.50523,1.00002,0.0016634,0.0016634,0.0016634
87,125.496,0.51869,0.75367,0.41333,0.99752,0.98135,0.95495,0.99324,0.86869,0.98135,0.95495,0.99324,0.86984,0.53422,0.73536,0.49136,1.00294,0.00165944,0.00165944,0.00165944
88,126.908,0.55162,0.88413,0.45879,1.01736,0.92505,0.96396,0.98836,0.87773,0.92812,0.96396,0.98723,0.87768,0.51582,0.67959,0.56639,0.9831,0.00165548,0.00165548,0.00165548
89,128.325,0.61206,1.00153,0.47712,1.04014,0.94865,0.99864,0.99264,0.90638,0.94865,0.99864,0.99264,0.88569,0.483,0.65942,0.53698,0.96647,0.00165152,0.00165152,0.00165152
90,129.747,0.58273,0.82684,0.43731,1.04109,0.98185,1,0.99482,0.89326,0.97301,0.99099,0.994,0.9019,0.5282,0.65202,0.58768,0.99411,0.00164756,0.00164756,0.00164756
91,131.165,0.5817,0.85602,0.43501,1.00875,0.98241,0.99099,0.99482,0.90874,0.98241,0.99099,0.99482,0.91718,0.49115,0.58524,0.44411,0.97676,0.0016436,0.0016436,0.0016436
92,132.606,0.55684,0.85465,0.43508,1.01147,0.99683,1,0.995,0.90396,0.99683,1,0.995,0.91975,0.49389,0.58014,0.41465,0.98195,0.00163964,0.00163964,0.00163964
93,134.025,0.57156,0.83218,0.4398,1.01982,1,0.9975,0.995,0.89354,1,0.9975,0.995,0.87377,0.50251,0.72942,0.42348,0.9934,0.00163568,0.00163568,0.00163568
94,135.436,0.58316,0.82189,0.44185,1.02279,0.98991,1,0.995,0.8939,0.98991,1,0.995,0.91155,0.50036,0.55724,0.41136,0.97979,0.00163172,0.00163172,0.00163172
95,136.895,0.56324,0.83552,0.40753,0.99632,0.98977,1,0.99446,0.8659,0.98977,1,0.99446,0.91321,0.51262,0.52979,0.42466,0.98556,0.00162776,0.00162776,0.00162776
96,138.303,0.5512,0.75584,0.40394,0.99726,0.97252,0.95664,0.9886,0.82523,0.97252,0.95664,0.9886,0.87476,0.57058,0.65942,0.59133,1.03529,0.0016238,0.0016238,0.0016238
97,139.711,0.51748,0.71647,0.38707,0.98506,0.97428,0.99099,0.99446,0.88931,0.97428,0.99099,0.99446,0.88997,0.49947,0.57597,0.40641,0.95818,0.00161984,0.00161984,0.00161984
98,141.136,0.5656,0.90839,0.42585,1.02888,0.98988,1,0.99491,0.87864,0.98096,0.99099,0.99482,0.90692,0.55016,0.57021,0.42092,0.98551,0.00161588,0.00161588,0.00161588
99,142.546,0.55022,0.78818,0.42227,1.00237,0.99731,1,0.995,0.91209,0.99731,1,0.995,0.91126,0.46462,0.53633,0.37375,0.93985,0.00161192,0.00161192,0.00161192
100,143.952,0.54822,0.79953,0.41827,0.99496,0.94478,0.99099,0.99027,0.90834,0.94176,0.98198,0.98952,0.91862,0.44719,0.49214,0.4348,0.93123,0.00160796,0.00160796,0.00160796
101,145.392,0.5597,0.78108,0.42307,0.98301,0.99875,1,0.995,0.91121,0.99875,1,0.995,0.92182,0.46616,0.52479,0.36368,0.94462,0.001604,0.001604,0.001604
102,146.881,0.57166,0.81712,0.43713,1.01669,0.99885,1,0.995,0.90949,0.99885,1,0.995,0.90428,0.51678,0.69401,0.37309,0.9915,0.00160004,0.00160004,0.00160004
103,148.292,0.58053,0.79084,0.42237,1.01246,0.99884,1,0.995,0.92669,0.99884,1,0.995,0.912,0.49246,0.6245,0.35622,0.97816,0.00159608,0.00159608,0.00159608
104,149.75,0.50791,0.70071,0.40782,0.99337,0.99011,1,0.99491,0.92254,0.99011,1,0.99491,0.92207,0.47596,0.56444,0.36555,0.95298,0.00159212,0.00159212,0.00159212
105,151.218,0.51603,0.76145,0.37532,0.98447,0.99828,1,0.995,0.90353,0.99828,1,0.995,0.92864,0.51434,0.5336,0.3981,0.99476,0.00158816,0.00158816,0.00158816
106,152.639,0.54031,0.82351,0.40102,0.98102,0.99895,1,0.995,0.9124,0.99895,1,0.995,0.9148,0.48863,0.5843,0.3681,0.95585,0.0015842,0.0015842,0.0015842
107,154.087,0.52268,0.75061,0.3887,0.99747,0.98742,1,0.99491,0.89404,0.98742,1,0.99491,0.91488,0.51623,0.58906,0.36551,0.99265,0.00158024,0.00158024,0.00158024
